organism,ID_link,CSPA category,UP_Protein_name,UP_entry_name,CD,ENTREZ_gene_ID,ENTREZ gene symbol,protein probability,count detection in different cell types,Phobius TM predicted yes/no,# predicted TM domains,GPI,UniProt cell surface
Mouse,P27931,1 - high confidence,Interleukin-1 receptor type 2,IL1R2_MOUSE,CD121b,16178,Il1r2,1,2,1,1,0,yes
Mouse,P26952,1 - high confidence,Interleukin-3 receptor subunit alpha,IL3RA_MOUSE,CD123,16188,Il3ra,1,11,1,1,0,yes
Mouse,P16382,1 - high confidence,Interleukin-4 receptor subunit alpha,IL4RA_MOUSE,CD124,16190,Il4r,0.9966,5,1,1,0,yes
Mouse,P22272,1 - high confidence,Interleukin-6 receptor subunit alpha,IL6RA_MOUSE,CD126,16194,Il6ra,0.9813,2,1,1,0,yes
Mouse,P16872,1 - high confidence,Interleukin-7 receptor subunit alpha,IL7RA_MOUSE,CD127,16197,Il7r,1,3,1,1,0,yes
Mouse,P97449,3 - unspecific,Aminopeptidase N,AMPN_MOUSE,CD13,16790,Anpep,1,24,0,0,0,#N/A
Mouse,Q00560,1 - high confidence,Interleukin-6 receptor subunit beta,IL6RB_MOUSE,CD130,16195,Il6st,1,19,1,1,0,yes
Mouse,P34902,1 - high confidence,Cytokine receptor common subunit gamma,IL2RG_MOUSE,CD132,16186,Il2rg,1,3,1,1,0,yes
Mouse,O54990,1 - high confidence,Prominin-1,PROM1_MOUSE,CD133,19126,Prom1,1,15,1,5,0,yes
Mouse,P47741,1 - high confidence,Tumor necrosis factor receptor superfamily member 4,TNR4_MOUSE,CD134,22163,Tnfrsf4,1,2,1,1,0,yes
Mouse,P20334,1 - high confidence,Tumor necrosis factor receptor superfamily member 9,TNR9_MOUSE,CD137,21942,Tnfrsf9,0.9954,1,1,1,0,yes
Mouse,P10810,1 - high confidence,Monocyte differentiation antigen CD14,CD14_MOUSE,CD14,12475,Cd14,1,11,0,0,1,yes
Mouse,P26618,1 - high confidence,Alpha-type platelet-derived growth factor receptor,PGFRA_MOUSE,CD140a,18595,Pdgfra,0.9986,2,1,1,0,yes
Mouse,P05622,1 - high confidence,Beta-type platelet-derived growth factor receptor,PGFRB_MOUSE,CD140b,18596,Pdgfrb,1,11,1,1,0,yes
Mouse,P15306,1 - high confidence,Thrombomodulin,TRBM_MOUSE,CD141,21824,Thbd,1,7,1,1,0,yes
Mouse,P20352,1 - high confidence,Tissue factor,TF_MOUSE,CD142,14066,F3,1,21,1,1,0,yes
Mouse,P09470,1 - high confidence,Angiotensin-converting enzyme,ACE_MOUSE,CD143,11421,Ace,1,3,1,1,0,yes
Mouse,P55284,1 - high confidence,Cadherin-5,CADH5_MOUSE,CD144,12562,Cdh5,0.9898,3,1,1,0,yes
Mouse,Q8R2Y2,1 - high confidence,Cell surface glycoprotein MUC18,MUC18_MOUSE,CD146,84004,Mcam,1,16,1,1,0,yes
Mouse,P18572,1 - high confidence,Basigin,BASI_MOUSE,CD147,12215,Bsg,1,31,1,1,0,yes
Mouse,Q64455,1 - high confidence,Receptor-type tyrosine-protein phosphatase eta,PTPRJ_MOUSE,CD148,19271,Ptprj,1,29,1,1,0,yes
Mouse,Q9QUM4,1 - high confidence,Signaling lymphocytic activation molecule,SLAF1_MOUSE,CD150,27218,Slamf1,1,3,1,1,0,yes
Mouse,O35566,2 - putative,CD151 antigen,CD151_MOUSE,CD151,12476,Cd151,1,10,1,4,0,#N/A
Mouse,P09793,1 - high confidence,Cytotoxic T-lymphocyte protein 4,CTLA4_MOUSE,CD152,12477,Ctla4,1,2,1,1,0,yes
Mouse,P32972,2 - putative,Tumor necrosis factor ligand superfamily member 8,TNFL8_MOUSE,CD153,21949,Tnfsf8,0.9938,1,1,1,0,#N/A
Mouse,Q9Z0F8,1 - high confidence,Disintegrin and metalloproteinase domain-containing protein 17,ADA17_MOUSE,CD156b,11491,Adam17,1,17,1,1,0,yes
Mouse,O35598,1 - high confidence,Disintegrin and metalloproteinase domain-containing protein 10,ADA10_MOUSE,CD156c,11487,Adam10,1,27,1,1,0,yes
Mouse,Q64277,1 - high confidence,ADP-ribosyl cyclase 2,BST1_MOUSE,CD157,12182,Bst1,1,5,0,0,1,yes
Mouse,Q2VLH6,1 - high confidence,Scavenger receptor cysteine-rich type 1 protein M130,C163A_MOUSE,CD163,93671,Cd163,1,2,1,1,0,yes
Mouse,Q9R0L9,1 - high confidence,Sialomucin core protein 24,MUC24_MOUSE,CD164,53599,Cd164,1,19,1,1,0,yes
Mouse,Q61490,1 - high confidence,CD166 antigen,CD166_MOUSE,CD166,11658,Alcam,1,28,1,1,0,yes
Mouse,Q62230,1 - high confidence,Sialoadhesin,SN_MOUSE,CD169,20612,Siglec1,1,6,1,1,0,yes
Mouse,P11627,1 - high confidence,Neural cell adhesion molecule L1,L1CAM_MOUSE,CD171,16728,L1cam,1,25,1,1,0,yes
Mouse,P97797,1 - high confidence,Tyrosine-protein phosphatase non-receptor type substrate 1,SHPS1_MOUSE,CD172a,19261,Sirpa,1,25,1,1,0,yes
Mouse,P11835,1 - high confidence,Integrin beta-2,ITB2_MOUSE,CD18,16414,Itgb2,1,13,1,1,0,yes
Mouse,Q62192,1 - high confidence,CD180 antigen,CD180_MOUSE,CD180,17079,Cd180,0.9999,3,1,1,0,yes
Mouse,Q04683,1 - high confidence,C-X-C chemokine receptor type 5,CXCR5_MOUSE,CD185,12145,Cxcr5,0.9933,2,1,7,0,yes
Mouse,P25918,1 - high confidence,B-lymphocyte antigen CD19,CD19_MOUSE,CD19,12478,Cd19,1,5,1,1,0,yes
Mouse,P51680,1 - high confidence,C-C chemokine receptor type 4,CCR4_MOUSE,CD194,12773,Ccr4,0.9954,3,1,7,0,yes
Mouse,P47774,1 - high confidence,C-C chemokine receptor type 7,CCR7_MOUSE,CD197,12775,Ccr7,1,2,1,6,0,yes
Mouse,P08920,1 - high confidence,T-cell surface antigen CD2,CD2_MOUSE,CD2,12481,Cd2,1,5,1,1,0,yes
Mouse,P19437,1 - high confidence,B-lymphocyte antigen CD20,CD20_MOUSE,CD20,12482,Ms4a1,1,1,1,4,0,yes
Mouse,O54901,1 - high confidence,OX-2 membrane glycoprotein,OX2G_MOUSE,CD200,17470,Cd200,1,13,1,1,0,yes
Mouse,Q64695,1 - high confidence,Endothelial protein C receptor,EPCR_MOUSE,CD201,19124,Procr,1,11,1,1,0,yes
Mouse,Q02858,1 - high confidence,Angiopoietin-1 receptor,TIE2_MOUSE,CD202b,0,Tek,0.99,1,1,1,0,yes
Mouse,P06802,1 - high confidence,Ectonucleotide pyrophosphatase/phosphodiesterase family member 1,ENPP1_MOUSE,CD203a,18605,Enpp1,1,23,1,1,0,yes
Mouse,Q6DYE8,1 - high confidence,Ectonucleotide pyrophosphatase/phosphodiesterase family member 3,ENPP3_MOUSE,CD203c,209558,Enpp3,1,16,1,1,0,yes
Mouse,P30204,2 - putative,Macrophage scavenger receptor types I and II,MSRE_MOUSE,CD204,20288,Msr1,1,10,1,1,0,#N/A
Mouse,Q60767,1 - high confidence,Lymphocyte antigen 75,LY75_MOUSE,CD205,17076,Ly75,1,21,1,1,0,yes
Mouse,Q61830,1 - high confidence,Macrophage mannose receptor 1,MRC1_MOUSE,CD206,17533,Mrc1,1,2,1,1,0,yes
Mouse,P19070,1 - high confidence,Complement receptor type 2,CR2_MOUSE,CD21,12902,Cr2,1,1,1,1,0,yes
Mouse,Q60837,1 - high confidence,Interleukin-12 receptor subunit beta-1,I12R1_MOUSE,CD212,16161,Il12rb1,0.9938,1,1,1,0,yes
Mouse,Q60943,1 - high confidence,Interleukin-17 receptor A,I17RA_MOUSE,CD217,16172,Il17ra,0.9963,4,1,1,0,yes
Mouse,Q61098,1 - high confidence,Interleukin-18 receptor 1,IL18R_MOUSE,CD218a,16182,Il18r1,1,4,1,1,0,yes
Mouse,P35329,1 - high confidence,B-cell receptor CD22,CD22_MOUSE,CD22,12483,Cd22,1,3,1,1,0,yes
Mouse,P15208,1 - high confidence,Insulin receptor,INSR_MOUSE,CD220,16337,Insr,1,31,1,1,0,yes
Mouse,Q60751,1 - high confidence,Insulin-like growth factor 1 receptor,IGF1R_MOUSE,CD221,16001,Igf1r,1,25,1,1,0,yes
Mouse,Q07113,1 - high confidence,Cation-independent mannose-6-phosphate receptor,MPRI_MOUSE,CD222,16004,Igf2r,1,22,1,1,0,yes
Mouse,Q61790,1 - high confidence,Lymphocyte activation gene 3 protein,LAG3_MOUSE,CD223,16768,Lag3,1,2,1,1,0,yes
Mouse,Q60928,2 - putative,Gamma-glutamyltranspeptidase 1,GGT1_MOUSE,CD224,14598,Ggt1,1,18,1,1,0,#N/A
Mouse,Q8K4F0,1 - high confidence,CD226 antigen,CD226_MOUSE,CD226,225825,Cd226,1,3,1,1,0,yes
Mouse,Q02496,1 - high confidence,Mucin-1,MUC1_MOUSE,CD227,17829,Muc1,0.9979,2,1,1,0,yes
Mouse,Q9R0R1,1 - high confidence,Melanotransferrin,TRFM_MOUSE,CD228,30060,Mfi2,1,2,1,1,1,yes
Mouse,Q01965,1 - high confidence,T-lymphocyte surface antigen Ly-9,LY9_MOUSE,CD229,17085,Ly9,1,6,1,2,0,yes
Mouse,P20693,1 - high confidence,Low affinity immunoglobulin epsilon Fc receptor,FCER2_MOUSE,CD23,14128,Fcer2,1,2,1,1,0,yes
Mouse,P04925,1 - high confidence,Major prion protein,PRIO_MOUSE,CD230,19122,Prnp,1,30,1,2,1,yes
Mouse,Q62283,2 - putative,Tetraspanin-7,TSN7_MOUSE,CD231,21912,Tspan7,1,4,1,4,0,#N/A
Mouse,Q9QZC2,1 - high confidence,Plexin-C1,PLXC1_MOUSE,CD232,54712,Plxnc1,1,5,1,2,0,yes
Mouse,P24807,1 - high confidence,Signal transducer CD24,CD24_MOUSE,CD24,12484,Cd24,1,27,0,0,1,yes
Mouse,Q9QUT0,2 - putative,Ammonium transporter Rh type A,RHAG_MOUSE,CD241,19743,Rhag,1,1,1,11,0,#N/A
Mouse,Q07763,1 - high confidence,Natural killer cell receptor 2B4,CD244_MOUSE,CD244,18106,Cd244,0.9945,2,1,1,0,yes
Mouse,P97793,1 - high confidence,ALK tyrosine kinase receptor,ALK_MOUSE,CD246,11682,Alk,0.9973,1,1,1,0,yes
Mouse,P16406,2 - putative,Glutamyl aminopeptidase,AMPE_MOUSE,CD249,13809,Enpep,1,4,1,1,0,#N/A
Mouse,P01590,1 - high confidence,Interleukin-2 receptor subunit alpha,IL2RA_MOUSE,CD25,16184,Il2ra,1,2,1,1,0,yes
Mouse,O35235,1 - high confidence,Tumor necrosis factor ligand superfamily member 11,TNF11_MOUSE,CD254,21943,Tnfsf11,1,2,1,1,0,yes
Mouse,P28843,1 - high confidence,Dipeptidyl peptidase 4,DPP4_MOUSE,CD26,13482,Dpp4,1,13,1,1,0,yes
Mouse,Q9QZM4,1 - high confidence,Tumor necrosis factor receptor superfamily member 10B,TR10B_MOUSE,CD262,21933,Tnfrsf10b,1,8,1,2,0,yes
Mouse,P41272,1 - high confidence,CD27 antigen,CD27_MOUSE,CD27,21940,Cd27,1,3,1,1,0,yes
Mouse,Q9WUL5,1 - high confidence,Programmed cell death 1 ligand 2,PD1L2_MOUSE,CD273,58205,Pdcd1lg2,0.9954,3,1,1,0,yes
Mouse,Q9EP73,1 - high confidence,Programmed cell death 1 ligand 1,PD1L1_MOUSE,CD274,60533,Cd274,0.9962,9,1,1,0,yes
Mouse,Q9JHJ8,1 - high confidence,ICOS ligand,ICOSL_MOUSE,CD275,50723,Icoslg,1,4,1,1,0,yes
Mouse,Q8VE98,1 - high confidence,CD276 antigen,CD276_MOUSE,CD276,102657,Cd276,1,24,1,1,0,yes
Mouse,Q02242,1 - high confidence,Programmed cell death protein 1,PDCD1_MOUSE,CD279,18566,Pdcd1,0.9034,2,1,1,0,yes
Mouse,P31041,1 - high confidence,T-cell-specific surface glycoprotein CD28,CD28_MOUSE,CD28,12487,Cd28,1,6,1,1,0,yes
Mouse,Q64449,1 - high confidence,C-type mannose receptor 2,MRC2_MOUSE,CD280,17534,Mrc2,1,17,1,1,0,yes
Mouse,Q9EPQ1,1 - high confidence,Toll-like receptor 1,TLR1_MOUSE,CD281,21897,Tlr1,1,5,1,2,0,yes
Mouse,Q9QUN7,1 - high confidence,Toll-like receptor 2,TLR2_MOUSE,CD282,24088,Tlr2,1,6,1,1,0,yes
Mouse,Q9QUK6,1 - high confidence,Toll-like receptor 4,TLR4_MOUSE,CD284,21898,Tlr4,0.9912,5,1,1,0,yes
Mouse,Q9EPW9,1 - high confidence,Toll-like receptor 6,TLR6_MOUSE,CD286,21899,Tlr6,0.9842,2,1,1,0,yes
Mouse,P58682,1 - high confidence,Toll-like receptor 8,TLR8_MOUSE,CD288,170744,Tlr8,0.9929,2,1,1,0,yes
Mouse,P09055,1 - high confidence,Integrin beta-1,ITB1_MOUSE,CD29,16412,Itgb1,1,31,1,1,0,yes
Mouse,P97370,1 - high confidence,Sodium/potassium-transporting ATPase subunit beta-3,AT1B3_MOUSE,CD298,11933,Atp1b3,1,30,1,1,0,yes
Mouse,Q60846,1 - high confidence,Tumor necrosis factor receptor superfamily member 8,TNR8_MOUSE,CD30,21941,Tnfrsf8,1,2,1,1,0,yes
Mouse,Q9DCG2,1 - high confidence,CD302 antigen,CD302_MOUSE,CD302,66205,Cd302,0.9886,3,1,1,0,yes
Mouse,P97333,1 - high confidence,Neuropilin-1,NRP1_MOUSE,CD304,18186,Nrp1,1,20,1,1,0,yes
Mouse,Q8BG84,1 - high confidence,Leukocyte-associated immunoglobulin-like receptor 1,LAIR1_MOUSE,CD305,52855,Lair1,1,4,1,1,0,yes
Mouse,P35918,1 - high confidence,Vascular endothelial growth factor receptor 2,VGFR2_MOUSE,CD309,16542,Kdr,0.9923,4,1,1,0,yes
Mouse,Q08481,1 - high confidence,Platelet endothelial cell adhesion molecule,PECA1_MOUSE,CD31,18613,Pecam1,1,22,1,1,0,yes
Mouse,Q9WV91,1 - high confidence,Prostaglandin F2 receptor negative regulator,FPRP_MOUSE,CD315,19221,Ptgfrn,1,24,1,1,0,yes
Mouse,Q8R366,1 - high confidence,Immunoglobulin superfamily member 8,IGSF8_MOUSE,CD316,140559,Igsf8,1,20,1,1,0,yes
Mouse,Q8R2Q8,1 - high confidence,Bone marrow stromal antigen 2,BST2_MOUSE,CD317,69550,Bst2,1,27,1,1,1,yes
Mouse,Q5U462,1 - high confidence,CUB domain-containing protein 1,CDCP1_MOUSE,CD318,109332,Cdcp1,1,3,1,1,0,yes
Mouse,P08101,1 - high confidence,Low affinity immunoglobulin gamma Fc region receptor II,FCGR2_MOUSE,CD32,14130,Fcgr2,1,11,1,1,0,yes
Mouse,Q9Z1P5,1 - high confidence,CD320 antigen,CD320_MOUSE,CD320,54219,Cd320,1,18,1,1,0,yes
Mouse,O88792,1 - high confidence,Junctional adhesion molecule A,JAM1_MOUSE,CD321,16456,F11r,1,25,1,1,0,yes
Mouse,Q9JI59,1 - high confidence,Junctional adhesion molecule B,JAM2_MOUSE,CD322,67374,Jam2,1,7,1,1,0,yes
Mouse,P09803,1 - high confidence,Cadherin-1,CADH1_MOUSE,CD324,12550,Cdh1,0.9583,6,1,1,0,yes
Mouse,P15116,1 - high confidence,Cadherin-2,CADH2_MOUSE,CD325,12558,Cdh2,1,21,1,1,0,yes
Mouse,Q99JW5,1 - high confidence,Epithelial cell adhesion molecule,EPCAM_MOUSE,CD326,17075,Epcam,1,11,1,1,0,yes
Mouse,Q63994,1 - high confidence,Myeloid cell surface antigen CD33,CD33_MOUSE,CD33,12489,Cd33,0.9999,1,1,1,0,yes
Mouse,P16092,1 - high confidence,Basic fibroblast growth factor receptor 1,FGFR1_MOUSE,CD331,14182,Fgfr1,1,21,1,1,0,yes
Mouse,P21803,1 - high confidence,Fibroblast growth factor receptor 2,FGFR2_MOUSE,CD332,14183,Fgfr2,1,6,1,1,0,yes
Mouse,Q61851,1 - high confidence,Fibroblast growth factor receptor 3,FGFR3_MOUSE,CD333,14184,Fgfr3,1,4,1,1,0,yes
Mouse,Q9QXX0,1 - high confidence,Protein jagged-1,JAG1_MOUSE,CD339,16449,Jag1,1,16,1,1,0,yes
Mouse,Q64314,1 - high confidence,Hematopoietic progenitor cell antigen CD34,CD34_MOUSE,CD34,12490,Cd34,1,13,1,1,0,yes
Mouse,P70424,1 - high confidence,Receptor tyrosine-protein kinase erbB-2,ERBB2_MOUSE,CD340,13866,Erbb2,1,9,1,1,0,yes
Mouse,Q9R216,1 - high confidence,Frizzled-9,FZD9_MOUSE,CD349,14371,Fzd9,1,2,1,7,0,yes
Mouse,Q08857,2 - putative,Platelet glycoprotein 4,CD36_MOUSE,CD36,12491,Cd36,1,19,1,2,0,#N/A
Mouse,Q61470,2 - putative,Leukocyte antigen CD37,CD37_MOUSE,CD37,12493,Cd37,1,5,1,4,0,#N/A
Mouse,P56528,2 - putative,ADP-ribosyl cyclase 1,CD38_MOUSE,CD38,12494,Cd38,1,20,1,1,0,#N/A
Mouse,P55772,2 - putative,Ectonucleoside triphosphate diphosphohydrolase 1,ENTP1_MOUSE,CD39,12495,Entpd1,1,13,1,2,0,#N/A
Mouse,P04235,1 - high confidence,T-cell surface glycoprotein CD3 delta chain,CD3D_MOUSE,CD3d,12500,Cd3d,0.9946,4,1,1,0,yes
Mouse,P11942,1 - high confidence,T-cell surface glycoprotein CD3 gamma chain,CD3G_MOUSE,CD3g,12502,Cd3g,0.9946,4,1,1,0,yes
Mouse,P06332,1 - high confidence,T-cell surface glycoprotein CD4,CD4_MOUSE,CD4,12504,Cd4,1,4,1,1,0,yes
Mouse,P27512,1 - high confidence,Tumor necrosis factor receptor superfamily member 5,TNR5_MOUSE,CD40,21939,Cd40,0.9883,6,1,1,0,yes
Mouse,O88186,1 - high confidence,Platelet glycoprotein IX,GPIX_MOUSE,CD42a,54368,Gp9,0.9771,1,1,1,0,yes
Mouse,O08742,1 - high confidence,Platelet glycoprotein V,GPV_MOUSE,CD42d,14729,Gp5,0.9763,1,1,1,0,yes
Mouse,P15379,1 - high confidence,CD44 antigen,CD44_MOUSE,CD44,12505,Cd44,1,22,1,1,0,yes
Mouse,P06800,1 - high confidence,Receptor-type tyrosine-protein phosphatase C,PTPRC_MOUSE,CD45,19264,Ptprc,1,7,1,1,0,yes
Mouse,Q61735,1 - high confidence,Leukocyte surface antigen CD47,CD47_MOUSE,CD47,16423,Cd47,1,28,1,5,0,yes
Mouse,P18181,1 - high confidence,CD48 antigen,CD48_MOUSE,CD48,12506,Cd48,1,8,0,0,1,yes
Mouse,Q3V3R4,1 - high confidence,Integrin alpha-1,ITA1_MOUSE,CD49a,109700,Itga1,1,20,1,1,0,yes
Mouse,Q62469,1 - high confidence,Integrin alpha-2,ITA2_MOUSE,CD49b,16398,Itga2,1,8,1,1,0,yes
Mouse,Q62470,1 - high confidence,Integrin alpha-3,ITA3_MOUSE,CD49c,16400,Itga3,1,25,1,1,0,yes
Mouse,Q00651,1 - high confidence,Integrin alpha-4,ITA4_MOUSE,CD49d,16401,Itga4,1,13,1,1,0,yes
Mouse,P11688,1 - high confidence,Integrin alpha-5,ITA5_MOUSE,CD49e,16402,Itga5,1,23,1,1,0,yes
Mouse,Q61739,1 - high confidence,Integrin alpha-6,ITA6_MOUSE,CD49f,16403,Itga6,1,27,1,1,0,yes
Mouse,P13379,1 - high confidence,T-cell surface glycoprotein CD5,CD5_MOUSE,CD5,12507,Cd5,1,3,1,1,0,yes
Mouse,P43406,1 - high confidence,Integrin alpha-V,ITAV_MOUSE,CD51,16410,Itgav,1,30,1,1,0,yes
Mouse,Q61451,2 - putative,Leukocyte surface antigen CD53,CD53_MOUSE,CD53,12508,Cd53,1,7,1,4,0,#N/A
Mouse,P13597,1 - high confidence,Intercellular adhesion molecule 1,ICAM1_MOUSE,CD54,15894,Icam1,1,28,1,1,0,yes
Mouse,P13595,1 - high confidence,Neural cell adhesion molecule 1,NCAM1_MOUSE,CD56,17967,Ncam1,1,25,1,1,1,yes
Mouse,Q61003,1 - high confidence,T-cell differentiation antigen CD6,CD6_MOUSE,CD6,12511,Cd6,1,4,1,1,0,yes
Mouse,O54890,1 - high confidence,Integrin beta-3,ITB3_MOUSE,CD61,16416,Itgb3,0.9999,5,1,1,0,yes
Mouse,P18337,1 - high confidence,L-selectin,LYAM1_MOUSE,CD62L,20343,Sell,1,3,1,1,0,yes
Mouse,P41731,1 - high confidence,CD63 antigen,CD63_MOUSE,CD63,12512,Cd63,1,19,1,4,0,yes
Mouse,P26151,1 - high confidence,High affinity immunoglobulin gamma Fc receptor I,FCGR1_MOUSE,CD64,14129,Fcgr1,1,4,1,1,0,yes
Mouse,P31809,1 - high confidence,Carcinoembryonic antigen-related cell adhesion molecule 1,CEAM1_MOUSE,CD66a,26365,Ceacam1,1,17,1,1,0,yes
Mouse,P37217,2 - putative,Early activation antigen CD69,CD69_MOUSE,CD69,12515,Cd69,1,5,1,1,0,#N/A
Mouse,Q62351,1 - high confidence,Transferrin receptor protein 1,TFR1_MOUSE,CD71,22042,Tfrc,1,26,1,1,0,yes
Mouse,P21855,2 - putative,B-cell differentiation antigen CD72,CD72_MOUSE,CD72,12517,Cd72,0.9945,5,1,1,0,#N/A
Mouse,Q7TSA3,1 - high confidence,B- and T-lymphocyte attenuator,BTLA_MOUSE,CD727,208154,Btla,1,2,1,1,0,yes
Mouse,Q61503,1 - high confidence,5'-nucleotidase,5NTD_MOUSE,CD73,23959,Nt5e,1,21,1,1,1,yes
Mouse,P04441,2 - putative,H-2 class II histocompatibility antigen gamma chain,HG2A_MOUSE,CD74,16149,Cd74,1,2,1,1,0,#N/A
Mouse,P11911,1 - high confidence,B-cell antigen receptor complex-associated protein alpha chain,CD79A_MOUSE,CD79a,12518,Cd79a,0.9949,1,1,1,0,yes
Mouse,P15530,1 - high confidence,B-cell antigen receptor complex-associated protein beta chain,CD79B_MOUSE,CD79b,15985,Cd79b,1,2,1,1,0,yes
Mouse,Q00609,1 - high confidence,T-lymphocyte activation antigen CD80,CD80_MOUSE,CD80,12519,Cd80,0.9966,19,1,1,0,yes
Mouse,P40237,2 - putative,CD82 antigen,CD82_MOUSE,CD82,12521,Cd82,1,11,1,4,0,#N/A
Mouse,Q18PI6,1 - high confidence,SLAM family member 5,SLAF5_MOUSE,CD84,12523,Cd84,1,5,1,1,0,yes
Mouse,Q64281,1 - high confidence,Leukocyte immunoglobulin-like receptor subfamily B member 4,LIRB4_MOUSE,CD85k,14728,Lilrb4,1,3,1,1,0,yes
Mouse,P42082,1 - high confidence,T-lymphocyte activation antigen CD86,CD86_MOUSE,CD86,12524,Cd86,1,2,1,1,0,yes
Mouse,P35456,1 - high confidence,Urokinase plasminogen activator surface receptor,UPAR_MOUSE,CD87,18793,Plaur,1,16,1,1,1,yes
Mouse,P01731,1 - high confidence,T-cell surface glycoprotein CD8 alpha chain,CD8A_MOUSE,CD8a,12525,Cd8a,1,3,1,1,0,yes
Mouse,P10300,1 - high confidence,T-cell surface glycoprotein CD8 beta chain,CD8B_MOUSE,CD8b,12526,Cd8b,1,2,1,1,0,yes
Mouse,P01831,1 - high confidence,Thy-1 membrane glycoprotein,THY1_MOUSE,CD90,21838,Thy1,1,23,1,1,1,yes
Mouse,Q91ZX7,1 - high confidence,Prolow-density lipoprotein receptor-related protein 1,LRP1_MOUSE,CD91,16971,Lrp1,1,29,1,1,0,yes
Mouse,Q6X893,1 - high confidence,Choline transporter-like protein 1,CTL1_MOUSE,CD92,100434,Slc44a1,1,3,1,9,0,yes
Mouse,O89103,1 - high confidence,Complement component C1q receptor,C1QR1_MOUSE,CD93,17064,Cd93,0.9944,2,1,1,0,yes
Mouse,P25446,1 - high confidence,Tumor necrosis factor receptor superfamily member 6,TNR6_MOUSE,CD95,14102,Fas,1,5,1,1,0,yes
Mouse,Q3U0X8,1 - high confidence,T-cell surface protein tactile,TACT_MOUSE,CD96,84544,Cd96,0.9946,1,1,1,0,yes
Mouse,Q9Z0M6,1 - high confidence,CD97 antigen,CD97_MOUSE,CD97,26364,Cd97,1,24,1,7,0,yes
Mouse,P10852,1 - high confidence,4F2 cell-surface antigen heavy chain,4F2_MOUSE,CD98,17254,Slc3a2,1,31,1,1,0,yes
